fecha_hecho,anio_hecho_i,mes_hecho_num,dia_semana,hora_hecho_h,mes_hecho_num_sin,mes_hecho_num_cos,hora_hecho_h_sin,hora_hecho_h_cos,latitud,longitud,alcaldia_hecho,colonia_catalogo,categoria_delito
2018-01-18,2018.0,1.0,JUEVES,14.0,0.0,1.0,-0.5000000000000001,-0.8660254037844386,19.2559,-99.06134,XOCHIMILCO,Pueblo San Gregorio Atlapulco,DELITO DE BAJO IMPACTO
2018-10-21,2018.0,10.0,DOMINGO,6.0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,19.26912,-99.15814,TLALPAN,Ejidos De San Pedro Martir,DELITO DE BAJO IMPACTO
2023-02-13,2023.0,2.0,LUNES,9.0,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,19.3806459585109,-99.1013789197625,IZTACALCO,Infonavit Iztacalco,DELITO DE BAJO IMPACTO
2017-08-21,2017.0,8.0,LUNES,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.35504,-99.15245,COYOACAN,Del Carmen,DELITO DE BAJO IMPACTO
2022-08-24,2022.0,8.0,MIÉRCOLES,11.0,-0.5000000000000001,-0.8660254037844386,0.258819045102521,-0.9659258262890682,19.5029285355633,-99.1220006304258,GUSTAVO A. MADERO,San Pedro Zacatenco,DELITO DE BAJO IMPACTO
2020-03-31,2020.0,3.0,MARTES,15.0,0.8660254037844386,0.5000000000000001,-0.7071067811865475,-0.7071067811865477,19.29671,-99.02202,TLAHUAC,Zacatenco,DELITO DE BAJO IMPACTO
2023-08-24,2023.0,8.0,JUEVES,17.0,-0.5000000000000001,-0.8660254037844386,-0.9659258262890683,-0.25881904510252063,19.375342095715,-99.1785959301424,BENITO JUAREZ,Extremadura Insurgentes,DELITO DE BAJO IMPACTO
2020-08-01,2020.0,8.0,SÁBADO,9.0,-0.5000000000000001,-0.8660254037844386,0.7071067811865476,-0.7071067811865475,19.410077495687,-99.1481708625451,CUAUHTEMOC,Doctores,DELITO DE BAJO IMPACTO
2021-03-08,2021.0,3.0,LUNES,9.0,0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475,19.23408,-99.19218,TLALPAN,Pueblo San Miguel Ajusco,DELITO DE BAJO IMPACTO
2022-06-13,2022.0,6.0,LUNES,7.0,0.49999999999999994,-0.8660254037844387,0.9659258262890683,-0.25881904510252085,19.46238,-99.17917,AZCAPOTZALCO,Claveria,DELITO DE BAJO IMPACTO
2017-12-28,2017.0,12.0,JUEVES,10.0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387,19.42452,-99.14544,CUAUHTEMOC,Doctores,DELITO DE BAJO IMPACTO
2018-06-29,2018.0,6.0,VIERNES,11.0,0.49999999999999994,-0.8660254037844387,0.258819045102521,-0.9659258262890682,19.3807673622895,-99.0928680535405,IZTAPALAPA,Central De Abasto,DELITO DE BAJO IMPACTO
2016-02-07,2016.0,2.0,DOMINGO,11.0,0.49999999999999994,0.8660254037844387,0.258819045102521,-0.9659258262890682,19.4436,-99.10022,VENUSTIANO CARRANZA,Damian Carmona,DELITO DE BAJO IMPACTO
2019-09-24,2019.0,9.0,MARTES,19.0,-0.8660254037844384,-0.5000000000000004,-0.9659258262890684,0.2588190451025203,19.32612,-99.04646,IZTAPALAPA,Mixcoatl,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA
2020-03-07,2020.0,3.0,SÁBADO,1.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,19.49203,-99.19763,AZCAPOTZALCO,Tezozomoc,DELITO DE BAJO IMPACTO
2023-08-29,2023.0,8.0,MARTES,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.4233300902676,-99.1019658704168,VENUSTIANO CARRANZA,Moctezuma 1a Seccion,DELITO DE BAJO IMPACTO
2018-01-01,2018.0,1.0,LUNES,17.0,0.0,1.0,-0.9659258262890683,-0.25881904510252063,19.32856,-99.08915,IZTAPALAPA,San Nicolas Tolentino,DELITO DE BAJO IMPACTO
2023-04-23,2023.0,4.0,DOMINGO,20.0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,19.3502561910672,-99.0732584095834,IZTAPALAPA,Los Angeles,DELITO DE BAJO IMPACTO
2018-01-10,2018.0,1.0,MIÉRCOLES,19.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,19.2190432342717,-99.0023579831716,MILPA ALTA,,DELITO DE BAJO IMPACTO
2021-06-04,2021.0,6.0,VIERNES,13.0,0.49999999999999994,-0.8660254037844387,-0.25881904510252035,-0.9659258262890684,19.4773527840039,-99.0712444664473,GUSTAVO A. MADERO,Ampliacion Providencia,DELITO DE BAJO IMPACTO
2021-12-20,2021.0,12.0,LUNES,9.0,-0.5000000000000004,0.8660254037844384,0.7071067811865476,-0.7071067811865475,19.3927136106428,-99.0423781316562,IZTAPALAPA,Juan Escutia,DELITO DE BAJO IMPACTO
2021-09-13,2021.0,9.0,LUNES,23.0,-0.8660254037844384,-0.5000000000000004,-0.2588190451025207,0.9659258262890683,19.30093,-99.16214,TLALPAN,Comuneros De Santa Ursula,DELITO DE BAJO IMPACTO
2020-08-24,2020.0,8.0,LUNES,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.2967,-99.02236,TLAHUAC,Zacatenco,DELITO DE BAJO IMPACTO
2019-07-31,2019.0,7.0,MIÉRCOLES,8.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,19.44629,-99.15306,CUAUHTEMOC,Buenavista,DELITO DE BAJO IMPACTO
2023-03-15,2023.0,3.0,MIÉRCOLES,21.0,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,19.4218559178782,-99.1097438701625,VENUSTIANO CARRANZA,Jardin Balbuena,DELITO DE BAJO IMPACTO
2023-09-19,2023.0,9.0,MARTES,6.0,-0.8660254037844384,-0.5000000000000004,1.0,6.123233995736766e-17,19.4399464117365,-99.0770870404406,VENUSTIANO CARRANZA,Peñon De Los Baños,DELITO DE BAJO IMPACTO
2023-01-24,2023.0,1.0,MARTES,0.0,0.0,1.0,0.0,1.0,19.4287238659,-99.1931729323,MIGUEL HIDALGO,Polanco Iv Seccion,DELITO DE BAJO IMPACTO
2016-05-24,2016.0,5.0,MARTES,15.0,0.8660254037844387,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,19.4673,-99.12192,GUSTAVO A. MADERO,Guadalupe Tepeyac,DELITO DE BAJO IMPACTO
2018-03-06,2018.0,3.0,MARTES,19.0,0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203,19.4143,-99.07022,IZTACALCO,Agricola Pantitlan,DELITO DE BAJO IMPACTO
2024-05-21,2024.0,5.0,MARTES,13.0,0.8660254037844387,-0.4999999999999998,-0.25881904510252035,-0.9659258262890684,19.489571319833,-99.1045099899999,GUSTAVO A. MADERO,Martin Carrera,DELITO DE BAJO IMPACTO
2017-05-28,2017.0,5.0,DOMINGO,18.0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,19.4023621159499,-99.134395877331,IZTACALCO,Viaducto Piedad,DELITO DE BAJO IMPACTO
2016-10-21,2016.0,10.0,VIERNES,16.0,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,19.40187,-99.15993,BENITO JUAREZ,Piedad Narvarte,DELITO DE BAJO IMPACTO
2022-05-24,2022.0,5.0,MARTES,17.0,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063,19.27643,-99.17811,TLALPAN,Pueblo Santa Ursula Xitla,DELITO DE BAJO IMPACTO
2018-09-10,2018.0,9.0,LUNES,5.0,-0.8660254037844384,-0.5000000000000004,0.9659258262890683,0.25881904510252074,19.3308,-99.00462,IZTAPALAPA,Lomas De La Estancia,DELITO DE BAJO IMPACTO
2021-02-23,2021.0,2.0,MARTES,8.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,19.336719850658,-99.2652257062617,ALVARO OBREGON,Pueblo San Bartolo Ameyalco,DELITO DE BAJO IMPACTO
2019-12-27,2019.0,12.0,VIERNES,20.0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,19.43971,-99.11818,VENUSTIANO CARRANZA,Morelos,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA
